DestinationCountry,RelativeRisk
Japan,13.928
Thailand,12.979
"Korea, Rep.",11.305
Taiwan,9.952
United States of America,5.737
Singapore,4.794
Malaysia,4.22
Australia,3.296
Vietnam,3.239
Philippines,2.958
Indonesia,2.9
Cambodia,2.645
Russian Federation,1.897
United Kingdom,1.763
Canada,1.509
Germany,1.361
United Arab Emirates,1.273
India,1.065
Italy,1.006
France,0.909
Rest of World,11.263
