OriginCity,ShareImportations
Wuhan,0.8578161078257505
Shanghai,0.04159392245147698
Rest of Mainland China,0.03187613559270843
Beijing,0.01965376449198923
Shenzhen,0.018235942400942
Guangzhou,0.006977187807269655
Kunming,0.006446769107685995
Xiamen,0.005049733529292414
Qingdao,0.004935413855917488
Zhuhai,0.004027841646810166
Hangzhou,0.003387181290157071
