OriginCity,ShareImportations
Shanghai,0.2811919499915444
Rest of Mainland China,0.20891708793274924
Beijing,0.1403278926100133
Shenzhen,0.1280566469788809
Guangzhou,0.05175481463147913
Kunming,0.044933814401892154
Xiamen,0.035548320918828674
Qingdao,0.03484810016715248
Zhuhai,0.028284356492905657
Hangzhou,0.024787367183936926
Sanya,0.021349648690617153
