cell_latitude,cell_longitude,cases
53.375,121.875,0.0004815232363315033
53.375,122.125,0.0005567835436051039
53.375,122.375,0.0005891168812290592
53.375,122.625,0.0005770035503515855
53.375,122.875,0.0005911534844521982
53.375,123.125,0.0006400161316111599
53.375,123.375,0.0006395421949156738
53.375,123.625,0.0006367014823298456
53.375,123.875,0.0006005889276208205
53.375,124.125,0.0005297055081116691
53.125,120.875,0.0005305034792349484
53.125,121.125,0.0005412486288544917
53.125,121.375,0.0005412486288544917
53.125,121.625,0.0005551811400539032
53.125,121.875,0.0006357843001359225
53.125,122.125,0.0006437704726733581
53.125,122.375,0.0006437704726733581
53.125,122.625,0.0006437704726733581
53.125,122.875,0.0006437704726733581
53.125,123.125,0.0006437704726733581
53.125,123.375,0.0006437704726733581
53.125,123.625,0.0006636628912744934
53.125,123.875,0.0008026617073841904
53.125,124.125,0.0008641784966191561
53.125,124.375,0.0008283502393143764
53.125,124.625,0.0007155613824194701
53.125,124.875,0.0006072838084255649
53.125,125.125,0.0007189687514223962
52.875,120.375,0.0004403944477637095
52.875,120.625,0.0005443949611498836
52.875,120.875,0.0005443949611498836
52.875,121.125,0.0005443949611498836
52.875,121.375,0.0005793299430879154
52.875,121.625,0.0006368297392269881
52.875,121.875,0.0006475131833872009
52.875,122.125,0.0006475131833872009
52.875,122.375,0.0006475131833872009
52.875,122.625,0.0006475131833872009
52.875,122.875,0.0006475131833872009
52.875,123.125,0.0006475131833872009
52.875,123.375,0.0006697413636163969
52.875,123.625,0.0008551795145790966
52.875,123.875,0.0008692021609782632
52.875,124.125,0.0008692021609782632
52.875,124.375,0.0008692021609782632
52.875,124.625,0.0008692021609782632
52.875,124.875,0.0008692021609782632
52.875,125.125,0.0008692021609782632
52.875,125.375,0.0008692021609782632
52.625,120.125,0.0003372497341773601
52.625,120.375,0.00032911785922024874
52.625,120.625,0.00045249808668422037
52.625,120.875,0.0005475306322926162
52.625,121.125,0.0005475306322926162
52.625,121.375,0.0005784547593741648
52.625,121.625,0.0006236958452813202
52.625,121.875,0.0006512423253612956
52.625,122.125,0.0007326767322855004
52.625,122.375,0.000711494637277834
52.625,122.625,0.0006512423253612956
52.625,122.875,0.0006512423253612956
52.625,123.125,0.0006512423253612956
52.625,123.375,0.0006997831995490889
52.625,123.625,0.0008325381339180486
52.625,123.875,0.0008658290368899393
52.625,124.125,0.0008704973294937397
52.625,124.375,0.0008742087028800689
52.625,124.625,0.0008742087028800689
52.625,124.875,0.0008742087028800689
52.625,125.125,0.0008742087028800689
52.375,120.875,0.0005506453041952625
52.375,121.125,0.0005506556422826895
52.375,121.375,0.0005506556422826895
52.375,121.625,0.0006241830276513224
52.375,121.875,0.000823618625925085
52.375,122.125,0.0008658558513042034
52.375,122.375,0.0008636415622034111
52.375,122.625,0.0007841982063046197
52.375,122.875,0.0003629266357591907
52.375,123.125,0.00021519462337588047
52.375,123.375,0.0002582978251096346
52.375,123.625,0.00015098078866379998
52.375,123.875,0.00015871390420493418
52.375,124.125,0.000539876247748544
52.375,124.375,0.0006785994892152623
52.375,124.625,0.0004631837923010578
52.375,124.875,0.000521515158347548
52.375,125.125,0.0006734559676550472
52.125,120.875,0.0005478427133068218
52.125,121.125,0.0005537699911201039
52.125,121.375,0.0005537699911201039
52.125,121.625,0.0005718664900960125
52.125,121.875,0.0008679732208353665
52.125,122.125,0.0008718735873824725
52.125,122.375,0.0008718735873824725
52.125,122.625,0.0007697949890620431
52.125,122.875,0.0001227616221575524
52.125,123.125,0.00012276100833361143
52.125,123.375,0.00012276100833361143
52.125,123.625,0.00012276100833361143
52.125,123.875,0.00012276100833361143
52.125,124.125,0.00012530143178620553
52.125,124.375,0.00012276100833361143
52.125,124.625,0.00012276100833361143
52.125,124.875,0.00012276100833361143
51.875,120.625,0.00046257384514285883
51.875,120.875,0.000556874001870091
51.875,121.125,0.000556874001870091
51.875,121.375,0.000558624369297592
51.875,121.625,0.0007568552573208653
51.875,121.875,0.0008767605951484025
51.875,122.125,0.0008767605951484025
51.875,122.375,0.0008767605951484025
51.875,122.625,0.0008767605951484025
51.875,122.875,0.0002905268126636226
51.875,123.125,0.00012344904035840821
51.875,123.375,0.00012344904035840821
51.875,123.625,0.00012344904035840821
51.875,123.875,0.00012344904035840821
51.875,124.125,0.00012344904035840821
51.875,124.375,5.8689814837945964e-05
51.875,124.625,5.8689814837945964e-05
51.875,124.875,5.8689814837945964e-05
51.875,125.125,6.283343390755943e-05
51.875,125.375,5.913800819360733e-05
51.875,125.625,5.8689814837945964e-05
51.625,120.625,0.0005599667053369547
51.625,120.875,0.0005599667053369547
51.625,121.125,0.0005599667053369547
51.625,121.375,0.0006596930657024867
51.625,121.625,0.0008816298343265671
51.625,121.875,0.0008816298343265671
51.625,122.125,0.0008816298343265671
51.625,122.375,0.0008816298343265671
51.625,122.625,0.0008802862060262761
51.625,122.875,0.0004808535221053664
51.625,123.125,0.00012413471400701072
51.625,123.375,5.901579598254542e-05
51.625,123.625,5.901579598254542e-05
51.625,123.875,5.901579598254542e-05
51.625,124.125,5.901579598254542e-05
51.625,124.375,5.901579598254542e-05
51.625,124.625,5.901579598254542e-05
51.625,124.875,7.709873372700695e-05
51.625,125.125,0.00015338718375327467
51.625,125.375,0.00015472139644028305
51.625,125.625,7.494525227661372e-05
51.625,125.875,5.901579598254542e-05
51.625,126.125,6.813068613347339e-05
51.625,126.375,6.813068613347339e-05
51.625,126.625,6.450545794228549e-05
51.375,121.125,0.0007122415640944422
51.375,121.375,0.0008679499601386555
51.375,121.625,0.0008864832433083592
51.375,121.875,0.0008864832433083592
51.375,122.125,0.0008864832433083592
51.375,122.375,0.0004214495086851905
51.375,122.625,0.00034184123928172053
51.375,122.875,0.00016901701508650402
51.375,123.125,0.00013348037044624053
51.375,123.375,0.00011726224021640391
51.375,123.625,0.00014545922524722107
51.375,123.875,0.00015455521117904266
51.375,124.125,0.0001506912041871447
51.375,124.375,0.00014344583397869233
51.375,124.625,0.00015010296672686316
51.375,124.875,0.00016950988801009035
51.375,125.125,0.00017108265795011038
51.375,125.375,0.00017108265795011038
51.375,125.625,0.0001556294253353415
51.375,125.875,7.559472639461848e-05
51.375,126.125,6.850572013364856e-05
51.375,126.375,6.850572013364856e-05
51.375,126.625,6.850572013364856e-05
51.125,121.625,0.00042374799522351073
51.125,121.875,0.00042374799522351073
51.125,122.125,0.00042374799522351073
51.125,122.375,0.00042374799522351073
51.125,122.625,0.00028410030849547804
51.125,122.875,0.00017201572214792498
